,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,CONVERTERS,,,,,Converter for Paribu altcoins,,,,,,,,,,,,
,,,Bitmex capital in BTC calculator,,,USDTRY price,39.40930190,,Kraken converter,,,,,,,,,
,,,XBTUSD market price,104749.8,,E1,4149799.49007000,,Desired amount (USD),Desired level (USD),EUR to USD Exchange Rate,,,,,,,
,,,Capital in USD,27813,,E2,4135021.00185750,,247.00000000,65937.00000000,1.15555000,,,,,,,
,,,Capital in BTC,0.2655,,E3,4120242.51364500,,213.75102765,57061.13971702,,,,,,,,
,,,,,,E4,4105464.02543250,,,,,,,,,,,
,,,,,,E5,4090685.53722000,,,,,,,,,,,
,,,,,,USDTRY conversion,,,,,,,,,,,,
,,,,,,USD price,3.55,,,,,,,,,,,
,,,,,,TRY price,139.9030217,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,LONG,,,,,,,,,,SHORT,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,PRICE,AMOUNT,,,,,,,,,PRICE,AMOUNT,,,
,,,Original entry,100000.00000000,453.00000000,,,,,,,,Original entry,92000.00000000,1260.00000000,,,
,,,Market entry,104749.80000000,432.45905959,,,,,,,,Market entry,104749.80000000,1106.63695778,,,
,,,Manual entry,83223.00000000,544.32068058,,,,,,,,Manual entry,92700.00000000,1250.48543689,,,
,,,,,,,,,,,,,,,,,,
,PHASE 1 (Premises),,Total capital,4051.0000,S1,105300.000,TP1,110000.000,,,PHASE 1 (Premises),,Toplam kapital,0.2674,SL,92000.000,TP1,76000.000
,,,The percentage of loss to be risked (%) (R),2.000,S2,103800.000,TP2,120000.000,,,,,Riske edilecek yüzdelik kayıp miktarı (%) (R),2.000,R2,88500.000,TP2,73500.000
,,,Percentage of capital to be deployed,100.000,SL,103000.000,TP3,130000.000,,,,,Kullanılacak kapital yüzdesi		,100.000,R1,86500.000,TP3,71000.000
,,,,,,,,,,,,,,,,,,
,PHASE 2 (Calculations),,Asymmetric real average entry,104831.25000000,,Symmetric real average entry,104550.00000000,,,,PHASE 2 (Calculations),,Asymmetric real average entry,87125.00000000,,Symmetric real average entry,87500.00000000,
,,,Distance of SL from AE (%),1.74685506,,Distance of SL from AE (%),1.48254424,,,,,,Distance of SL from AE (%),5.59540890,,Distance of SL from AE (%),5.14285714,
,,,Risk coefficient (k),0.87342753,,Risk coefficient (k),0.74127212,,,,,,Risk coefficient (k),2.79770445,,Risk coefficient (k),2.57142857,
,,,Calculated position size,4638.04935154,,Calculated position size,5464.92967742,,,,,,Calculated position size,0.09557836,,Calculated position size,0.10398889,
,,,Calculated leverage,1.14491468,,Calculated leverage,1.34903226,,,,,,Calculated leverage,0.35743590,,Calculated leverage,0.00002567,
,,,Real RR,7.91808874,,Real RR,9.35483871,,,,,,Real RR,3.66666667,,Real RR,3.97222222,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,             PHASE 3 (Entries),,Asymmetric orders,,,Symmetric orders,,,,,             PHASE 3 (Entries),,Asymmetric orders,,,Symmetric orders,,
,,,Levels,Coin volume in BTC,Coin volume in USD,Levels,Coin volume in BTC,Coin volume in USD,,,,,Levels,Coin volume in BTC,Coin volume in USD,Levels,Coin volume in BTC,Coin volume in USD
,,E1,105300.00000000,2319.02467577,244193298.35836200,105300.00000000,1092.98593548,115091419.00645200,,,,E1,86500.00000000,0.04778918,4133.76402564,86500.00000000,0.02079778,1799.00777778
,,E2,104925.00000000,579.75616894,60830916.02623720,104925.00000000,1092.98593548,114681549.28064500,,,,E2,87000.00000000,0.01194729,1039.41465385,87000.00000000,0.02079778,1809.40666667
,,E3,104550.00000000,579.75616894,60613507.46288400,104550.00000000,1092.98593548,114271679.55483900,,,,E3,87500.00000000,0.01194729,1045.38830128,87500.00000000,0.02079778,1819.80555556
,,E4,104175.00000000,579.75616894,60396098.89953070,104175.00000000,1092.98593548,113861809.82903200,,,,E4,88000.00000000,0.01194729,1051.36194872,88000.00000000,0.02079778,1830.20444444
